Rating,Time,Year,Plays,Skips
40,251,2002,1,7
40,260,2002,10,5
60,261,2003,25,0
60,266,2003,19,0
40,182,2006,17,1
60,141,2006,22,3
80,215,2006,26,1
40,238,2006,21,1
60,220,2008,25,3
60,355,2008,13,4
60,205,2008,26,3
60,212,2008,21,2
60,206,2008,19,3
60,264,2008,23,1
40,237,2008,15,4
40,119,2008,16,4
60,274,2008,14,7
60,179,2008,28,1
60,265,2008,17,1
60,232,2008,17,0
80,265,2008,19,2
80,293,2008,27,0
40,139,2007,13,2
60,131,2005,20,2
80,379,1968,30,1
40,273,1973,11,12
40,175,2005,10,0
40,224,2005,21,3
40,204,1972,16,3
40,222,2005,13,0
60,272,2005,23,0
80,448,2005,24,1
40,224,2005,12,2
60,435,1971,14,0
40,211,1981,16,1
40,163,2005,23,0
40,189,2006,29,0
40,193,2001,11,0
60,183,2001,7,0
40,214,2003,11,0
40,235,2011,29,0
60,223,2009,14,0
40,200,2009,9,1
60,183,2009,30,1
40,272,2009,11,0
60,212,2009,25,1
40,220,2009,11,2
60,330,2009,6,1
40,257,2009,4,1
40,354,2009,7,2
40,230,2009,17,0
40,174,2008,1,10
40,358,1997,16,1
60,156,2000,33,2
40,189,2000,17,5
60,231,2003,19,4
60,158,2005,18,1
80,241,2005,19,0
60,155,2005,21,1
40,328,2007,22,6
40,168,2007,11,3
60,254,2007,30,1
60,272,2007,24,0
60,234,2007,29,1
60,162,1999,15,0
40,111,1999,11,0
60,150,1999,23,0
40,185,1999,12,0
80,187,1999,20,0
60,149,1999,7,0
40,142,1999,9,0
60,193,1999,14,0
60,194,1999,14,0
40,90,1999,13,0
40,144,1999,8,1
60,140,1999,13,0
60,175,1999,16,0
60,201,1999,13,0
40,149,1999,13,2
60,133,1999,14,0
60,114,1999,16,0
60,214,2005,25,0
80,110,2002,26,0
60,130,2002,4,0
40,174,2002,14,0
60,142,2002,29,3
40,337,1997,11,1
40,161,1996,5,5
40,247,2002,1,0
40,125,2002,7,4
40,202,2002,0,0
60,199,2002,2,0
60,181,2002,1,0
40,381,1996,24,3
60,308,1995,13,4
60,513,1995,16,2
60,176,2004,24,1
20,198,2008,5,10
60,215,2010,17,3
40,236,1986,16,4
80,248,2000,18,1
40,270,2004,7,0
60,219,2004,18,0
40,347,2004,12,5
60,303,2004,12,6
60,290,2004,23,1
60,239,2004,14,4
40,231,2004,10,3
60,281,2004,15,4
40,308,2005,8,4
80,194,2004,20,3
40,261,2004,7,9
80,300,2009,14,2
60,253,2009,12,6
40,324,2009,16,4
60,229,2009,15,1
60,258,2006,12,3
80,279,2006,22,1
40,150,2010,21,6
60,145,2010,28,0
60,361,2010,34,0
60,168,2010,27,6
80,286,2010,38,0
60,138,2010,16,3
60,206,2010,31,1
60,269,2010,27,4
80,232,2010,44,1
60,235,2010,27,3
60,178,2010,12,4
60,242,2010,20,0
60,184,2010,27,0
40,158,2007,28,0
60,155,2009,16,7
60,137,2008,32,0
60,133,2008,25,0
60,176,2008,29,0
60,214,2008,32,0
80,159,2008,35,2
80,255,2008,39,0
60,127,2008,32,0
60,193,2008,35,1
80,195,2008,40,1
60,243,2008,31,0
80,221,2008,36,0
60,280,2005,18,0
60,271,2005,24,0
60,209,1987,19,3
80,206,1987,31,2
40,236,2008,20,4
40,171,2008,13,3
40,167,2008,11,1
40,204,1994,15,1
60,258,1994,9,3
60,200,2001,15,0
60,164,2008,25,0
40,280,2006,3,4
